bay_name,grid_row,grid_col,level
PA61-5b,3,62,Level 1
PA63-5a,3,63,Level 1
PA63-5b,3,64,Level 1
PA65-5a,3,65,Level 1
PA65-5b,3,66,Level 1
PA67-5a,3,67,Level 1
PA67-5b,3,68,Level 1
PA69-5a,3,69,Level 1
PA69-5b,3,70,Level 1
PA71-5a,3,71,Level 1
PA71-5b,3,72,Level 1
PA73-5a,3,73,Level 1
PA73-5b,3,74,Level 1
PA75-5a,3,75,Level 1
PA75-5b,3,76,Level 1
PA77-5a,3,77,Level 1
PA77-5b,3,78,Level 1
PA79-5a,3,79,Level 1
PA79-5b,3,80,Level 1
PA81-5a,3,81,Level 1
PA81-5b,3,82,Level 1
PA83-5a,3,83,Level 1
PA83-5b,3,84,Level 1
PA85-5a,3,85,Level 1
PA85-5b,3,86,Level 1
PA87-5a,3,87,Level 1
PA87-5b,3,88,Level 1
PA89-5a,3,89,Level 1
PA89-5b,3,90,Level 1
PA91-5a,3,91,Level 1
PA91-5b,3,92,Level 1
PA93-5a,3,93,Level 1
PA93-5b,3,94,Level 1
PA95-5a,3,95,Level 1
PA95-5b,3,96,Level 1
PA97-5a,3,97,Level 1
PA97-5b,3,98,Level 1
PA99-5a,3,99,Level 1
PA99-5b,3,100,Level 1
PA101-5a,3,101,Level 1
PA101-5b,3,102,Level 1
PA103-5a,3,103,Level 1
PA103-5b,3,104,Level 1
PA105-5a,3,105,Level 1
PA105-5b,3,106,Level 1
PA107-5a,3,107,Level 1
PA107-5b,3,108,Level 1
PA109-5a,3,109,Level 1
PA109-5b,3,110,Level 1
PA111-5a,3,111,Level 1
PA111-5b,3,112,Level 1
PA113-5a,3,113,Level 1
PA113-5b,3,114,Level 1
PA115-5a,3,115,Level 1
PA115-5b,3,116,Level 1
PA117-5a,3,117,Level 1
PA117-5b,3,118,Level 1
PA1-4a,4,1,Level 1
PA1-4b,4,2,Level 1
PA3-4a,4,3,Level 1
PA3-4b,4,4,Level 1
PA5-4a,4,5,Level 1
PA5-4b,4,6,Level 1
PA7-4a,4,7,Level 1
PA7-4b,4,8,Level 1
PA9-4a,4,9,Level 1
PA9-4b,4,10,Level 1
PA11-4a,4,11,Level 1
PA11-4b,4,12,Level 1
PA13-4a,4,13,Level 1
PA13-4b,4,14,Level 1
PA15-4a,4,15,Level 1
PA15-4b,4,16,Level 1
PA17-4a,4,17,Level 1
PA17-4b,4,18,Level 1
PA19-4a,4,19,Level 1
PA19-4b,4,20,Level 1
PA21-4a,4,21,Level 1
PA21-4b,4,22,Level 1
PA23-4a,4,23,Level 1
PA23-4b,4,24,Level 1
PA25-4a,4,25,Level 1
PA25-4b,4,26,Level 1
PA27-4a,4,27,Level 1
PA27-4b,4,28,Level 1
PA29-4a,4,29,Level 1
PA29-4b,4,30,Level 1
PA31-4a,4,31,Level 1
PA31-4b,4,32,Level 1
PA33-4a,4,33,Level 1
PA33-4b,4,34,Level 1
PA35-4a,4,35,Level 1
PA35-4b,4,36,Level 1
PA37-4a,4,37,Level 1
PA37-4b,4,38,Level 1
PA39-4a,4,39,Level 1
PA39-4b,4,40,Level 1
PA41-4a,4,41,Level 1
PA41-4b,4,42,Level 1
PA43-4a,4,43,Level 1
PA43-4b,4,44,Level 1
PA45-4a,4,45,Level 1
PA45-4b,4,46,Level 1
PA47-4a,4,47,Level 1
PA47-4b,4,48,Level 1
PA49-4a,4,49,Level 1
PA49-4b,4,50,Level 1
PA51-4a,4,51,Level 1
PA51-4b,4,52,Level 1
PA53-4a,4,53,Level 1
PA53-4b,4,54,Level 1
PA55-4a,4,55,Level 1
PA55-4b,4,56,Level 1
PA57-4a,4,57,Level 1
PA57-4b,4,58,Level 1
PA59-4a,4,59,Level 1
PA59-4b,4,60,Level 1
PA61-4a,4,61,Level 1
PA61-4b,4,62,Level 1
PA63-4a,4,63,Level 1
PA63-4b,4,64,Level 1
PA65-4a,4,65,Level 1
PA65-4b,4,66,Level 1
PA67-4a,4,67,Level 1
PA67-4b,4,68,Level 1
PA69-4a,4,69,Level 1
PA69-4b,4,70,Level 1
PA71-4a,4,71,Level 1
PA71-4b,4,72,Level 1
PA73-4a,4,73,Level 1
PA73-4b,4,74,Level 1
PA75-4a,4,75,Level 1
PA75-4b,4,76,Level 1
PA77-4a,4,77,Level 1
PA77-4b,4,78,Level 1
PA79-4a,4,79,Level 1
PA79-4b,4,80,Level 1
PA81-4a,4,81,Level 1
PA81-4b,4,82,Level 1
PA83-4a,4,83,Level 1
PA83-4b,4,84,Level 1
PA85-4a,4,85,Level 1
PA85-4b,4,86,Level 1
PA87-4a,4,87,Level 1
PA87-4b,4,88,Level 1
PA89-4a,4,89,Level 1
PA89-4b,4,90,Level 1
PA91-4a,4,91,Level 1
PA91-4b,4,92,Level 1
PA93-4a,4,93,Level 1
PA93-4b,4,94,Level 1
PA95-4a,4,95,Level 1
PA95-4b,4,96,Level 1
PA97-4a,4,97,Level 1
PA97-4b,4,98,Level 1
PA99-4a,4,99,Level 1
PA99-4b,4,100,Level 1
PA101-4a,4,101,Level 1
PA101-4b,4,102,Level 1
PA103-4a,4,103,Level 1
PA103-4b,4,104,Level 1
PA105-4a,4,105,Level 1
PA105-4b,4,106,Level 1
PA107-4a,4,107,Level 1
PA107-4b,4,108,Level 1
